DOM,date,time,yaw,pitch,roll,aX,aY,aZ,gX,gY,gZ,hX,hY,hZ,Temp,Humid
10,2/3/2021,14:43:40,0,0,0,0,0,0,0,0,0,0,0,0,43.36,11.96
10,2/3/2021,14:43:50,0,0,0,0,0,0,0,0,0,0,0,0,43.29,11.99
10,2/3/2021,14:44:00,0,0,0,0,0,0,0,0,0,0,0,0,43.32,11.99
10,2/3/2021,14:44:10,0,0,0,0,0,0,0,0,0,0,0,0,43.39,11.96
10,2/3/2021,14:44:20,0,0,0,0,0,0,0,0,0,0,0,0,43.39,11.96
10,2/3/2021,14:44:30,0,0,0,0,0,0,0,0,0,0,0,0,43.23,11.99
10,2/3/2021,14:44:40,0,0,0,0,0,0,0,0,0,0,0,0,43.21,12.07
10,2/3/2021,14:44:50,0,0,0,0,0,0,0,0,0,0,0,0,43.11,12.07
10,2/3/2021,14:45:00,0,0,0,0,0,0,0,0,0,0,0,0,43.09,12.1
10,2/3/2021,14:45:10,0,0,0,0,0,0,0,0,0,0,0,0,43.02,12.1
10,2/3/2021,14:45:20,0,0,0,0,0,0,0,0,0,0,0,0,43.01,12.13
10,2/3/2021,14:45:30,0,0,0,0,0,0,0,0,0,0,0,0,43.11,12.1
10,2/3/2021,14:45:40,0,0,0,0,0,0,0,0,0,0,0,0,43.0,12.13
10,2/3/2021,14:45:50,0,0,0,0,0,0,0,0,0,0,0,0,42.9,12.17
10,2/3/2021,14:46:00,0,0,0,0,0,0,0,0,0,0,0,0,42.94,12.17
10,2/3/2021,14:46:10,0,0,0,0,0,0,0,0,0,0,0,0,42.68,12.21
10,2/3/2021,14:46:20,0,0,0,0,0,0,0,0,0,0,0,0,42.61,12.28
10,2/3/2021,14:46:30,0,0,0,0,0,0,0,0,0,0,0,0,42.69,12.29
10,2/3/2021,14:46:40,0,0,0,0,0,0,0,0,0,0,0,0,42.79,12.29
10,2/3/2021,14:46:50,0,0,0,0,0,0,0,0,0,0,0,0,42.55,12.28
10,2/3/2021,14:47:00,0,0,0,0,0,0,0,0,0,0,0,0,42.55,12.32
