,DOM,date,time,yaw,pitch,roll,aX,aY,aZ,gX,gY,gZ,hX,hY,hZ,Temp,Humid
600,1,2/3/2021,14:33:40,196.985748291016,-34.5455932617188,179.932708740234,0.0,4.565010007230959e-41,-0.99797785282135,-5.128622699096971e-17,-11607.259765625,-0.874401092529297,0.08606060594320301,-1.38669034304598e+20,0.111818179488182,41.69,13.42
601,1,2/3/2021,14:33:50,196.985748291016,-34.5455932617188,179.932708740234,0.0,3.7905123459986295e-42,-0.9971261024475101,-1.01552480729657e-16,-8391.716796875,-0.6321205496788019,0.0900000035762787,-1.37645644065836e+20,0.11242423951625802,41.7,13.43
602,1,2/3/2021,14:34:00,196.985748291016,-34.5455932617188,179.932708740234,0.0,4.947003968605901e-41,-0.997926890850067,-7.64188228103603e-17,-1958.87292480469,-0.14757311344146698,0.0881818160414696,-1.35087168468931e+20,0.111818179488182,41.68,13.43
603,1,2/3/2021,14:34:10,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.04113780955072e-41,-0.9974741339683529,-1.01552480729657e-16,-11607.986328125,-0.874401092529297,0.0872727259993553,-1.36110558707693e+20,0.11272727698087699,41.63,13.46
604,1,2/3/2021,14:34:20,196.985748291016,-34.5455932617188,179.932708740234,0.0,3.7637475453300297e-41,-0.997116327285767,-1.01552480729657e-16,-5175.2041015625,-0.38984000682830794,0.0869696959853172,-1.37133940150362e+20,0.11272727698087699,41.67,13.48
605,1,2/3/2021,14:34:30,196.985748291016,-34.5455932617188,179.932708740234,0.0,5.996436388538759e-41,-0.99769914150238,-1.01890329415965e-18,-11607.017578125,-0.874401092529297,0.0881818160414696,-1.36622245030981e+20,0.10999999940395402,41.69,13.43
606,1,2/3/2021,14:34:40,196.985748291016,-34.5455932617188,179.932708740234,0.0,2.3121424661359498e-43,-0.997065722942352,-2.0208606023310698e-16,-8391.716796875,-0.6321205496788019,0.0893939435482025,-1.3457547334955e+20,0.11212120950222,41.69,13.43
607,1,2/3/2021,14:34:50,196.985748291016,-34.5455932617188,179.932708740234,0.0,9.50080358812226e-43,-0.9979248046875,2.4114758347450195e-17,-8391.716796875,-0.6321205496788019,0.0890909060835838,-1.36622245030981e+20,0.11090908944606802,41.73,13.43
608,1,2/3/2021,14:35:00,196.985748291016,-34.5455932617188,179.932708740234,0.0,5.94711068259452e-42,-0.99712336063385,-1.5181980318569699e-16,-14823.3486328125,-1.11666798591614,0.0896969735622406,-1.39180729423979e+20,0.110303029417992,41.67,13.46
609,1,2/3/2021,14:35:10,196.985748291016,-34.5455932617188,179.932708740234,0.0,4.762733220547189e-41,-0.9978119730949399,-1.26686138648955e-16,-11608.228515625,-0.874401092529297,0.0875757560133934,-1.37645644065836e+20,0.11121211946010601,41.67,13.42
610,1,2/3/2021,14:35:20,196.985748291016,-34.5455932617188,179.932708740234,1.1359597035182599e-27,2.38220738935219e-43,-0.997725486755371,-2.61525674173114e-17,-5175.4462890625,-0.38984000682830794,0.0875757560133934,-1.36110558707693e+20,0.114545457065105,41.67,13.43
611,1,2/3/2021,14:35:30,196.985748291016,-34.5455932617188,179.932708740234,0.0,5.339507668463279e-41,-0.997869372367859,-2.0208606023310698e-16,-8390.9892578125,-0.6321205496788019,0.0890909060835838,-1.33552091906882e+20,0.113333337008953,41.66,13.42
612,1,2/3/2021,14:35:40,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.08415767240549e-41,-0.9979113936424259,2.4114758347450195e-17,1257.1552734375,0.0947074368596077,0.0878787860274315,-1.3457547334955e+20,0.111515149474144,41.59,13.46
613,1,2/3/2021,14:35:50,196.985748291016,-34.5455932617188,179.932708740234,0.0,5.4461464815984e-41,-0.9980266690254208,-1.01552480729657e-16,-11607.501953125,-0.874401092529297,0.0890909060835838,-1.38157339185217e+20,0.113939397037029,41.61,13.46
614,1,2/3/2021,14:36:00,196.985748291016,-34.5455932617188,179.932708740234,0.0,3.9236357001094903e-42,-0.9979212880134579,-2.61525674173114e-17,-8391.958984375,-0.6321205496788019,0.0887878760695457,-1.35087168468931e+20,0.11242423951625802,41.55,13.5
615,1,2/3/2021,14:36:10,196.985748291016,-34.5455932617188,179.932708740234,6.245004513516509e-16,7.60905066128376e-42,1423167.0,-2.61525674173114e-17,1257.1552734375,0.0947074368596077,0.0854545459151268,-1.35598863588312e+20,0.11121211946010601,41.57,13.5
616,1,2/3/2021,14:36:20,196.985748291016,-34.5455932617188,179.932708740234,0.0,4.614055453482329e-41,-0.997416079044342,2.4114758347450195e-17,-11607.017578125,-0.874401092529297,0.0900000035762787,-1.35087168468931e+20,0.11060605943203,41.53,13.5
617,1,2/3/2021,14:36:30,196.985748291016,-34.5455932617188,179.932708740234,0.0,4.5679527340060397e-41,-0.997869253158569,-1.01552480729657e-16,-5174.9619140625,-0.38984000682830794,0.0893939435482025,-1.3457547334955e+20,0.111818179488182,41.47,13.53
618,1,2/3/2021,14:36:40,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.088641827491329e-41,-0.9979247450828549,-1.26686138648955e-16,-11607.501953125,-0.874401092529297,0.0875757560133934,-1.36110558707693e+20,0.11121211946010601,41.55,13.55
619,1,2/3/2021,14:36:50,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.06636118190857e-41,-0.9975211620330809,-1.01890329415965e-18,-8390.748046875,-0.6321205496788019,0.0887878760695457,-1.36622245030981e+20,0.10999999940395402,41.55,13.5
620,1,2/3/2021,14:37:00,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.088641827491329e-41,-0.9979435205459591,-1.01890329415965e-18,-8390.9892578125,-0.6321205496788019,0.0893939435482025,-1.36622245030981e+20,0.108484849333763,41.51,13.55
621,1,2/3/2021,14:37:10,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.06790261021932e-41,-0.99712061882019,2.4114758347450195e-17,-11607.017578125,-0.874401092529297,0.0890909060835838,-1.35087168468931e+20,0.110303029417992,41.58,13.42
622,1,2/3/2021,14:37:20,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.083597153019761e-41,-0.9979248046875,-1.26686138648955e-16,-11607.259765625,-0.874401092529297,0.0878787860274315,-1.38157339185217e+20,0.113333337008953,41.59,13.46
623,1,2/3/2021,14:37:30,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.088641827491329e-41,-0.9979248046875,-1.01890329415965e-18,-5174.9619140625,-0.38984000682830794,0.0887878760695457,-1.38157339185217e+20,0.113939397037029,41.55,13.5
624,1,2/3/2021,14:37:40,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.06524014313711e-41,-0.997925341129303,-1.5181980318569699e-16,-8391.474609375,-0.6321205496788019,0.08606060594320301,-1.35598863588312e+20,0.11424242705106698,41.53,13.5
625,1,2/3/2021,14:37:50,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.002882361474649e-41,-0.9979247450828549,-5.128622699096971e-17,-8390.9892578125,-0.6321205496788019,0.0875757560133934,-1.33552091906882e+20,0.113939397037029,41.44,13.53
626,1,2/3/2021,14:38:00,196.985748291016,-34.5455932617188,179.932708740234,0.0,3.0430597451277697e-41,-0.9974110126495358,-1.01890329415965e-18,-8391.474609375,-0.6321205496788019,0.0881818160414696,-1.38669034304598e+20,0.113939397037029,41.49,13.45
627,1,2/3/2021,14:38:10,196.985748291016,-34.5455932617188,179.932708740234,0.0,1.52209039194962e-41,-0.9977176189422611,-5.128622699096971e-17,-5174.9619140625,-0.38984000682830794,0.0875757560133934,-1.36622245030981e+20,0.11515151709318198,41.48,13.53
628,1,2/3/2021,14:38:20,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.079673517319649e-41,-0.997943878173828,2.4114758347450195e-17,-5174.9619140625,-0.38984000682830794,0.0872727259993553,-1.39180729423979e+20,0.113333337008953,41.43,13.49
629,1,2/3/2021,14:38:30,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.05192780772602e-41,-0.997524261474609,-2.61525674173114e-17,-5174.9619140625,-0.38984000682830794,0.0878787860274315,-1.3406377823017e+20,0.11515151709318198,41.54,13.42
630,1,2/3/2021,14:38:40,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.041978588629311e-41,-0.9972321391105649,-1.01552480729657e-16,-8391.2314453125,-0.6321205496788019,0.0896969735622406,-1.36622245030981e+20,0.113636367022991,41.49,13.41
631,1,2/3/2021,14:38:50,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.08752078871987e-41,-0.997838139533997,-1.5181980318569699e-16,-8390.9892578125,-0.6321205496788019,0.0878787860274315,-1.39180729423979e+20,0.113030306994915,41.42,13.61
632,1,2/3/2021,14:39:00,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.070705207147969e-41,-0.99792468547821,-1.26686138648955e-16,-8391.474609375,-0.6321205496788019,0.0890909060835838,-1.32017006548739e+20,0.11424242705106698,41.44,13.53
633,1,2/3/2021,14:39:10,196.985748291016,-34.5455932617188,179.932708740234,0.0,7.36522472849124e-42,-0.997119665145874,-5.128622699096971e-17,4472.69873046875,0.33698800206184404,0.0903030335903168,-1.38669034304598e+20,0.113030306994915,41.48,13.46
634,1,2/3/2021,14:39:20,196.985748291016,-34.5455932617188,179.932708740234,0.0,4.756006987918429e-42,-0.997066736221313,-1.01890329415965e-18,-11606.775390625,-0.874401092529297,0.0881818160414696,-1.3457547334955e+20,0.11212120950222,41.61,13.42
635,1,2/3/2021,14:39:30,196.985748291016,-34.5455932617188,179.932708740234,0.0,1.4996696165204197e-41,-0.997060239315033,-2.52353376071701e-16,-11607.017578125,-0.874401092529297,0.0893939435482025,-1.36110558707693e+20,0.11242423951625802,41.63,13.42
636,1,2/3/2021,14:39:40,196.985748291016,-34.5455932617188,179.932708740234,0.0,5.993493661763679e-41,-0.9978967905044559,-1.26686138648955e-16,-5174.71923828125,-0.38984000682830794,0.0869696959853172,-1.38157339185217e+20,0.11121211946010601,41.68,13.48
637,1,2/3/2021,14:39:50,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.088641827491329e-41,-0.9979411959648129,-1.01890329415965e-18,-11606.775390625,-0.874401092529297,0.0881818160414696,-1.35598863588312e+20,0.114545457065105,41.67,13.48
638,1,2/3/2021,14:40:00,196.985748291016,-34.5455932617188,179.932708740234,6.171345341817009e-37,6.079673517319649e-41,-0.998280942440033,2.4114758347450195e-17,-5175.2041015625,-0.38984000682830794,0.0890909060835838,-1.35598863588312e+20,0.114848487079144,41.66,13.46
639,1,2/3/2021,14:40:10,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.085699100716249e-41,-0.9977237582206729,-1.5181980318569699e-16,-8391.474609375,-0.6321205496788019,0.0881818160414696,-1.40715805986028e+20,0.111515149474144,41.71,13.39
640,1,2/3/2021,14:40:20,196.985748291016,-34.5455932617188,179.932708740234,0.0,1.4806119574055997e-41,-0.9972381591796879,-1.26686138648955e-16,-5174.9619140625,-0.38984000682830794,0.0872727259993553,-1.3457547334955e+20,0.111515149474144,41.67,13.42
641,1,2/3/2021,14:40:30,196.985748291016,-34.5455932617188,179.932708740234,0.0,5.708609683966441e-41,-0.997869372367859,-1.01890329415965e-18,-8390.9892578125,-0.6321205496788019,0.0890909060835838,-1.36622245030981e+20,0.11060605943203,41.69,13.48
642,1,2/3/2021,14:40:40,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.088641827491329e-41,-0.997757911682129,-1.01890329415965e-18,-8390.9892578125,-0.6321205496788019,0.0906060636043549,-1.40715805986028e+20,0.11060605943203,41.75,13.39
643,1,2/3/2021,14:40:50,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.088641827491329e-41,-0.998382389545441,-1.01890329415965e-18,-5174.9619140625,-0.38984000682830794,0.0884848460555077,-1.29970234867308e+20,0.113333337008953,41.66,13.43
644,1,2/3/2021,14:41:00,196.985748291016,-34.5455932617188,179.932708740234,1.67641474035918e-07,6.085839230562678e-41,382036468563968.0,-1.76952395696365e-16,-8391.2314453125,-0.6321205496788019,0.0890909060835838,-1.3457547334955e+20,0.11242423951625802,41.68,13.43
645,1,2/3/2021,14:41:10,196.985748291016,-34.5455932617188,179.932708740234,0.0,7.604846765890778e-42,-0.997838199138641,-1.01890329415965e-18,-5175.2041015625,-0.38984000682830794,0.0887878760695457,-1.32017006548739e+20,0.108484849333763,41.66,13.43
646,1,2/3/2021,14:41:20,196.985748291016,-34.5455932617188,179.932708740234,0.0,6.088641827491329e-41,-0.997483670711517,-2.61525674173114e-17,-5174.9619140625,-0.38984000682830794,0.0890909060835838,-1.35598863588312e+20,0.11212120950222,41.65,13.39
647,1,2/3/2021,14:41:30,196.985748291016,-34.5455932617188,179.932708740234,0.0,3.0427794854349103e-41,-0.9974657297134399,-2.61525674173114e-17,-8391.2314453125,-0.6321205496788019,0.0887878760695457,-1.36622245030981e+20,0.111515149474144,41.64,13.46
648,1,2/3/2021,14:41:40,196.985748291016,-34.5455932617188,179.932708740234,0.0,5.32465390474144e-41,-0.9988123178482059,-1.5181980318569699e-16,-5175.4462890625,-0.38984000682830794,0.0890909060835838,-1.36110558707693e+20,0.108181819319725,41.66,13.46
649,1,2/3/2021,14:41:50,196.985748291016,-34.5455932617188,179.932708740234,1.9387045606711602e-25,6.08611949025555e-41,-0.9973735809326171,-1.26686138648955e-16,-11607.986328125,-0.874401092529297,0.0881818160414696,-1.3457547334955e+20,0.109090909361839,41.59,13.46
