,DOM,time
1,2,40971
2,2,237972
3,2,434973
4,2,631973
5,2,828974
6,2,1025975
7,2,1222976
8,2,1419977
9,2,1616978
10,2,1813978
11,2,2010979
12,2,2207980
13,2,2404981
14,2,2601982
15,2,2798983
16,2,2995984
17,2,3192984
18,2,3389985
19,2,3586986
20,2,3783987
21,2,3980988
22,2,4177989
23,2,4374990
24,2,4571990
25,2,4768991
26,2,4965992
27,2,5162993
28,2,5359994
29,2,5556995
30,2,5753996
31,2,5950996
32,2,6147997
33,2,6344998
34,2,6541999
35,2,6739000
36,2,6936001
37,2,7133002
38,2,7330002
39,2,7527003
40,2,7724004
41,2,7921005
42,2,8118006
43,2,8315007
44,2,8512007
45,2,8709008
46,2,8906009
47,2,9103010
48,2,9300011
49,2,9497012
50,2,9694013
51,2,9891014
52,2,10088014
53,2,10285015
54,2,10482016
55,2,10679017
56,2,10876018
57,2,11073019
58,2,11270019
59,2,11467020
60,2,11664021
61,2,11861022
62,2,12058023
63,2,12255024
64,2,12452025
65,2,12649025
66,2,12846026
67,2,13043027
68,2,13240028
69,2,13437029
70,2,13634030
71,2,13831031
72,2,14028031
73,2,14225032
74,2,14422033
75,2,14619034
76,2,14816035
77,2,15013036
78,2,15210037
79,2,15407037
80,2,15604038
81,2,15801039
82,2,15998040
83,2,16195041
84,2,16392042
85,2,16589043
86,2,16786043
87,2,16983044
88,2,17180045
89,2,17377046
90,2,17574047
91,2,17771048
92,2,17968049
93,2,18165049
94,2,18362050
95,2,18559051
96,2,18756052
97,2,18953053
98,2,19150054
99,2,19347055
100,2,19544055
101,2,19741056
102,2,19938057
103,2,20135058
104,2,20332059
105,2,20529060
106,2,20726061
107,2,20923061
108,2,21120062
109,2,21317063
110,2,21514064
111,2,21711065
112,2,21908066
113,2,22105067
114,2,22302067
115,2,22499068
116,2,22696069
117,2,22893070
118,2,23090071
119,2,23287072
120,2,23484073
121,2,23681073
122,2,23878074
123,2,24075075
124,2,24272076
125,2,24469077
126,2,24666078
127,2,24863079
128,2,25060079
129,2,25257080
130,2,25454081
131,2,25651082
132,2,25848083
133,2,26045084
134,2,26242085
135,2,26439086
136,2,26636086
137,2,26833087
138,2,27030088
139,2,27227089
140,2,27424090
141,2,27621091
142,2,27818091
143,2,28015092
144,2,28212093
145,2,28409094
146,2,28606095
147,2,28803096
148,2,29000096
149,2,29197097
150,2,29394097
151,2,29591097
152,2,29788098
153,2,29985098
154,2,30182099
155,2,30379099
156,2,30576100
157,2,30773100
158,2,30970101
159,2,31167101
160,2,31364102
161,2,31561102
162,2,31758103
163,2,31955103
164,2,32152104
165,2,32349104
166,2,32546105
167,2,32743105
168,2,32940106
169,2,33137106
170,2,33334107
171,2,33531107
172,2,33728108
173,2,33925108
174,2,34122109
175,2,34319109
176,2,34516109
177,2,34713110
178,2,34910110
179,2,35107111
180,2,35304111
181,2,35501112
182,2,35698112
183,2,35895113
184,2,36092113
185,2,36289114
186,2,36486114
187,2,36683115
188,2,36880115
189,2,37077116
190,2,37274116
191,2,37471117
192,2,37668117
193,2,37865118
194,2,38062118
195,2,38259119
196,2,38456119
197,2,38653120
198,2,38850120
199,2,39047121
200,2,39244121
201,2,39441122
202,2,39638122
203,2,39835123
204,2,40032123
205,2,40229123
206,2,40426124
207,2,40623125
208,2,40820125
209,2,41017125
210,2,41214126
211,2,41411126
212,2,41608127
213,2,41805127
214,2,42002128
215,2,42199128
216,2,42396129
217,2,42593129
218,2,42790130
219,2,42987130
220,2,43184131
221,2,43381131
222,2,43578132
223,2,43775132
224,2,43972133
225,2,44169133
226,2,44366134
227,2,44563134
228,2,44760135
229,2,44957135
230,2,45154135
231,2,45351136
232,2,45548136
233,2,45745137
234,2,45942137
235,2,46139138
236,2,46336138
237,2,46533139
238,2,46730139
239,2,46927140
240,2,47124140
241,2,47321141
242,2,47518141
243,2,47715142
244,2,47912142
245,2,48109143
246,2,48306143
247,2,48503144
248,2,48700144
249,2,48897145
250,2,49094145
251,2,49291146
252,2,49488146
253,2,49685147
254,2,49882147
255,2,50079148
256,2,50276148
257,2,50473149
258,2,50670149
259,2,50867150
260,2,51064150
261,2,51261151
262,2,51458151
263,2,51655152
264,2,51852152
265,2,52049153
266,2,52246153
267,2,52443153
268,2,52640154
269,2,52837154
270,2,53034155
271,2,53231155
272,2,53428156
273,2,53625156
274,2,53822157
275,2,54019157
276,2,54216158
277,2,54413158
278,2,54610159
279,2,54807159
280,2,55004160
281,2,55201160
282,2,55398161
283,2,55595161
284,2,55792162
285,2,55989162
286,2,56186163
287,2,56383163
288,2,56580164
289,2,56777164
290,2,56974165
291,2,57171165
292,2,57368166
293,2,57565166
294,2,57762167
295,2,57959167
296,2,58156167
297,2,58353168
298,2,58550168
299,2,58747169
300,2,58944169
301,2,59141170
302,2,59338170
303,2,59535171
304,2,59732171
305,2,59929172
306,2,60126172
307,2,60323173
308,2,60520173
309,2,60717174
310,2,60914174
311,2,61111175
312,2,61308175
313,2,61505176
314,2,61702176
315,2,61899177
316,2,62096177
317,2,62293178
318,2,62490178
319,2,62687179
320,2,62884179
321,2,63081180
322,2,63278180
323,2,63475181
324,2,63672181
325,2,63869182
326,2,64066182
327,2,64263183
328,2,64460183
329,2,64657184
330,2,64854184
331,2,65051185
332,2,65248185
333,2,65445186
334,2,65642186
335,2,65839186
336,2,66036187
337,2,66233187
338,2,66430188
339,2,66627188
340,2,66824189
341,2,67021189
342,2,67218190
343,2,67415190
344,2,67612191
345,2,67809191
346,2,68006192
347,2,68203192
348,2,68400193
349,2,68597193
350,2,68794194
351,2,68991194
352,2,69188195
353,2,69385195
354,2,69582196
355,2,69779196
356,2,69976197
357,2,70173197
358,2,70370198
359,2,70567198
360,2,70764199
361,2,70961199
362,2,71158200
363,2,71355200
364,2,71552201
365,2,71749201
366,2,71946202
367,2,72143202
368,2,72340202
369,2,72537203
370,2,72734203
371,2,72931204
372,2,73128204
373,2,73325205
374,2,73522205
375,2,73719206
376,2,73916206
377,2,74113207
378,2,74310207
379,2,74507208
380,2,74704208
381,2,74901209
382,2,75098209
383,2,75295210
384,2,75492210
385,2,75689211
386,2,75886211
387,2,76083212
388,2,76280212
389,2,76477213
390,2,76674213
391,2,76871214
392,2,77068214
393,2,77265215
394,2,77462215
395,2,77659216
396,2,77856216
397,2,78053217
398,2,78250217
399,2,78447218
400,2,78644218
401,2,78841219
402,2,79038219
403,2,79235220
404,2,79432220
405,2,79629221
406,2,79826221
407,2,80023222
408,2,80220222
409,2,80417223
410,2,80614223
411,2,80811224
412,2,81008224
413,2,81205225
414,2,81402225
415,2,81599226
416,2,81796226
417,2,81993227
418,2,82190227
419,2,82387228
420,2,82584228
421,2,82781229
422,2,82978229
423,2,83175230
424,2,83372230
425,2,83569231
426,2,83766231
427,2,83963232
428,2,84160232
429,2,84357233
430,2,84554233
431,2,84751233
432,2,84948234
433,2,85145234
434,2,85342235
435,2,85539235
436,2,85736236
437,2,85933236
438,2,86130237
439,2,86327237
440,2,86524238
441,2,86721238
442,2,86918239
443,2,87115239
444,2,87312240
445,2,87509240
446,2,87706241
447,2,87903241
448,2,88100242
449,2,88297242
450,2,88494243
451,2,88691243
452,2,88888244
453,2,89085244
454,2,89282245
455,2,89479245
456,2,89676246
457,2,89873246
458,2,90070247
459,2,90267247
460,2,90464248
461,2,90661248
462,2,90858249
463,2,91055249
464,2,91252250
465,2,91449250
466,2,91646251
467,2,91843251
468,2,92040252
469,2,92237252
470,2,92434253
471,2,92631253
472,2,92828254
473,2,93025254
474,2,93222255
475,2,93419255
476,2,93616256
477,2,93813256
478,2,94010257
479,2,94207257
480,2,94404258
481,2,94601258
482,2,94798259
483,2,94995259
484,2,95192260
485,2,95389260
486,2,95586261
487,2,95783261
488,2,95980262
489,2,96177262
490,2,96374263
491,2,96571263
492,2,96768264
493,2,96965264
494,2,97162265
495,2,97359265
496,2,97556266
497,2,97753266
498,2,97950267
499,2,98147267
500,2,98344267
501,2,98541268
502,2,98738269
503,2,98935269
504,2,99132269
505,2,99329270
506,2,99526270
507,2,99723271
508,2,99920272
509,1,40971
510,1,237972
511,1,434973
512,1,631974
513,1,828975
514,1,1025976
515,1,1222977
516,1,1419977
517,1,1616978
518,1,1813979
519,1,2010980
520,1,2207981
521,1,2404982
522,1,2601982
523,1,2798983
524,1,2995984
525,1,3192985
526,1,3389986
527,1,3586987
528,1,3783988
529,1,3980989
530,1,4177989
531,1,4374990
532,1,4571991
533,1,4768992
534,1,4965993
535,1,5162994
536,1,5359994
537,1,5556995
538,1,5753996
539,1,5950997
540,1,6147998
541,1,6344999
542,1,6542000
543,1,6739000
544,1,6936001
545,1,7133002
546,1,7330003
547,1,7527004
548,1,7724005
549,1,7921005
550,1,8118006
551,1,8315007
552,1,8512008
553,1,8709009
554,1,8906010
555,1,9103011
556,1,9300011
557,1,9497012
558,1,9694013
559,1,9891014
560,1,10088015
561,1,10285016
562,1,10482017
563,1,10679017
564,1,10876018
565,1,11073019
566,1,11270020
567,1,11467021
568,1,11664022
569,1,11861022
570,1,12058023
571,1,12255024
572,1,12452025
573,1,12649026
574,1,12846027
575,1,13043028
576,1,13240029
577,1,13437029
578,1,13634030
579,1,13831031
580,1,14028032
581,1,14225033
582,1,14422034
583,1,14619034
584,1,14816035
585,1,15013036
586,1,15210037
587,1,15407038
588,1,15604039
589,1,15801040
590,1,15998040
591,1,16195041
592,1,16392042
593,1,16589043
594,1,16786044
595,1,16983045
596,1,17180046
597,1,17377046
598,1,17574047
599,1,17771048
600,1,17968049
601,1,18165050
602,1,18362051
603,1,18559052
604,1,18756052
605,1,18953053
606,1,19150054
607,1,19347055
608,1,19544056
609,1,19741057
610,1,19938058
611,1,20135059
612,1,20332059
613,1,20529060
614,1,20726061
615,1,20923062
616,1,21120063
617,1,21317064
618,1,21514065
619,1,21711065
620,1,21908066
621,1,22105067
622,1,22302068
623,1,22499069
624,1,22696070
625,1,22893070
626,1,23090071
627,1,23287072
628,1,23484073
629,1,23681074
630,1,23878075
631,1,24075076
632,1,24272077
633,1,24469077
634,1,24666078
635,1,24863079
636,1,25060080
637,1,25257081
638,1,25454082
639,1,25651082
640,1,25848083
641,1,26045084
642,1,26242085
643,1,26439086
644,1,26636087
645,1,26833088
646,1,27030089
647,1,27227089
648,1,27424090
649,1,27621091
650,1,27818092
651,1,28015093
652,1,28212094
653,1,28409095
654,1,28606095
655,1,28803096
656,1,29000097
657,1,29197097
658,1,29394098
659,1,29591098
660,1,29788099
661,1,29985099
662,1,30182100
663,1,30379100
664,1,30576101
665,1,30773101
666,1,30970101
667,1,31167102
668,1,31364102
669,1,31561103
670,1,31758103
671,1,31955104
672,1,32152104
673,1,32349105
674,1,32546105
675,1,32743106
676,1,32940106
677,1,33137107
678,1,33334107
679,1,33531108
680,1,33728108
681,1,33925109
682,1,34122109
683,1,34319110
684,1,34516110
685,1,34713111
686,1,34910111
687,1,35107111
688,1,35304112
689,1,35501112
690,1,35698113
691,1,35895113
692,1,36092114
693,1,36289114
694,1,36486115
695,1,36683115
696,1,36880116
697,1,37077116
698,1,37274117
699,1,37471117
700,1,37668118
701,1,37865118
702,1,38062119
703,1,38259119
704,1,38456120
705,1,38653120
706,1,38850121
707,1,39047121
708,1,39244122
709,1,39441122
710,1,39638123
711,1,39835123
712,1,40032124
713,1,40229124
714,1,40426125
715,1,40623125
716,1,40820125
717,1,41017126
718,1,41214126
719,1,41411127
720,1,41608127
721,1,41805128
722,1,42002128
723,1,42199129
724,1,42396129
725,1,42593130
726,1,42790130
727,1,42987131
728,1,43184131
729,1,43381132
730,1,43578132
731,1,43775133
732,1,43972133
733,1,44169134
734,1,44366134
735,1,44563135
736,1,44760135
737,1,44957136
738,1,45154136
739,1,45351137
740,1,45548137
741,1,45745138
742,1,45942138
743,1,46139139
744,1,46336139
745,1,46533140
746,1,46730140
747,1,46927141
748,1,47124141
749,1,47321141
750,1,47518142
751,1,47715142
752,1,47912143
753,1,48109143
754,1,48306144
755,1,48503144
756,1,48700145
757,1,48897145
758,1,49094146
759,1,49291146
760,1,49488147
761,1,49685147
762,1,49882148
763,1,50079148
764,1,50276149
765,1,50473149
766,1,50670150
767,1,50867150
768,1,51064151
769,1,51261151
770,1,51458152
771,1,51655152
772,1,51852153
773,1,52049153
774,1,52246153
775,1,52443154
776,1,52640154
777,1,52837155
778,1,53034155
779,1,53231156
780,1,53428156
781,1,53625157
782,1,53822157
783,1,54019158
784,1,54216158
785,1,54413159
786,1,54610159
787,1,54807160
788,1,55004160
789,1,55201161
790,1,55398161
791,1,55595162
792,1,55792162
793,1,55989163
794,1,56186163
795,1,56383164
796,1,56580164
797,1,56777165
798,1,56974165
799,1,57171166
800,1,57368166
801,1,57565167
802,1,57762167
803,1,57959168
804,1,58156168
805,1,58353169
806,1,58550169
807,1,58747170
808,1,58944170
809,1,59141171
810,1,59338171
811,1,59535171
812,1,59732172
813,1,59929172
814,1,60126173
815,1,60323173
816,1,60520174
817,1,60717174
818,1,60914175
819,1,61111175
820,1,61308176
821,1,61505176
822,1,61702177
823,1,61899177
824,1,62096178
825,1,62293178
826,1,62490179
827,1,62687179
828,1,62884180
829,1,63081180
830,1,63278181
831,1,63475181
832,1,63672182
833,1,63869182
834,1,64066183
835,1,64263183
836,1,64460184
837,1,64657184
838,1,64854185
839,1,65051185
840,1,65248186
841,1,65445186
842,1,65642187
843,1,65839187
844,1,66036187
845,1,66233188
846,1,66430188
847,1,66627189
848,1,66824189
849,1,67021190
850,1,67218190
851,1,67415191
852,1,67612191
853,1,67809192
854,1,68006192
855,1,68203193
856,1,68400193
857,1,68597194
858,1,68794194
859,1,68991195
860,1,69188195
861,1,69385196
862,1,69582196
863,1,69779197
864,1,69976197
865,1,70173198
866,1,70370198
867,1,70567199
868,1,70764199
869,1,70961200
870,1,71158200
871,1,71355201
872,1,71552201
873,1,71749202
874,1,71946202
875,1,72143203
876,1,72340203
877,1,72537204
878,1,72734204
879,1,72931205
880,1,73128205
881,1,73325205
882,1,73522206
883,1,73719206
884,1,73916207
885,1,74113207
886,1,74310208
887,1,74507208
888,1,74704209
889,1,74901209
890,1,75098210
891,1,75295210
892,1,75492211
893,1,75689211
894,1,75886212
895,1,76083212
896,1,76280213
897,1,76477213
898,1,76674214
899,1,76871214
900,1,77068215
901,1,77265215
902,1,77462216
903,1,77659216
904,1,77856217
905,1,78053217
906,1,78250218
907,1,78447218
908,1,78644219
909,1,78841219
910,1,79038220
911,1,79235220
912,1,79432221
913,1,79629221
914,1,79826222
915,1,80023222
916,1,80220223
917,1,80417223
918,1,80614224
919,1,80811224
