,DOM,delay
1,2,0
2,2,0
3,2,0
4,2,-1
5,2,-1
6,2,-1
7,2,-1
8,2,0
9,2,0
10,2,-1
11,2,-1
12,2,-1
13,2,-1
14,2,0
15,2,0
16,2,0
17,2,-1
18,2,-1
19,2,-1
20,2,-1
21,2,-1
22,2,0
23,2,0
24,2,-1
25,2,-1
26,2,-1
27,2,-1
28,2,0
29,2,0
30,2,0
31,2,-1
32,2,-1
33,2,-1
34,2,-1
35,2,0
36,2,0
37,2,0
38,2,-1
39,2,-1
40,2,-1
41,2,0
42,2,0
43,2,0
44,2,-1
45,2,-1
46,2,-1
47,2,-1
48,2,0
49,2,0
50,2,0
51,2,0
52,2,-1
53,2,-1
54,2,-1
55,2,0
56,2,0
57,2,0
58,2,-1
59,2,-1
60,2,-1
61,2,0
62,2,0
63,2,0
64,2,0
65,2,-1
66,2,-1
67,2,-1
68,2,-1
69,2,0
70,2,0
71,2,0
72,2,-1
73,2,-1
74,2,-1
75,2,0
76,2,0
77,2,0
78,2,0
79,2,-1
80,2,-1
81,2,-1
82,2,0
83,2,0
84,2,0
85,2,0
86,2,-1
87,2,-1
88,2,-1
89,2,0
90,2,0
91,2,0
92,2,0
93,2,-1
94,2,-1
95,2,-1
96,2,0
97,2,0
98,2,0
99,2,0
100,2,-1
101,2,-1
102,2,-1
103,2,-1
104,2,0
105,2,0
106,2,0
107,2,-1
108,2,-1
109,2,-1
110,2,-1
111,2,0
112,2,0
113,2,0
114,2,-1
115,2,-1
116,2,-1
117,2,0
118,2,0
119,2,0
120,2,0
121,2,-1
122,2,-1
123,2,-1
124,2,-1
125,2,0
126,2,0
127,2,0
128,2,-1
129,2,-1
130,2,-1
131,2,0
132,2,0
133,2,0
134,2,0
135,2,0
136,2,-1
137,2,-1
138,2,-1
139,2,0
140,2,0
141,2,0
142,2,-1
143,2,-1
144,2,-1
145,2,-1
146,2,0
147,2,0
148,2,-1
149,2,0
150,2,-1
151,2,-1
152,2,-1
153,2,-1
154,2,-1
155,2,-1
156,2,-1
157,2,-1
158,2,0
159,2,-1
160,2,0
161,2,-1
162,2,0
163,2,-1
164,2,0
165,2,-1
166,2,0
167,2,-1
168,2,0
169,2,-1
170,2,0
171,2,-1
172,2,0
173,2,-1
174,2,0
175,2,-1
176,2,-1
177,2,-1
178,2,-1
179,2,0
180,2,-1
181,2,0
182,2,-1
183,2,0
184,2,-1
185,2,0
186,2,-1
187,2,0
188,2,-1
189,2,0
190,2,-1
191,2,0
192,2,-1
193,2,0
194,2,-1
195,2,0
196,2,-1
197,2,0
198,2,-1
199,2,0
200,2,-1
201,2,0
202,2,-1
203,2,0
204,2,-1
205,2,-1
206,2,-1
207,2,0
208,2,0
209,2,-1
210,2,0
211,2,-1
212,2,0
213,2,-1
214,2,0
215,2,-1
216,2,0
217,2,-1
218,2,0
219,2,-1
220,2,0
221,2,-1
222,2,0
