,DOM,delay
1,2,50963
2,2,50962
3,2,50962
4,2,50962
5,2,50963
6,2,50962
7,2,50962
8,2,50962
9,2,50962
10,2,50963
11,2,50962
12,2,50962
13,2,50962
14,2,50963
15,2,50962
16,2,50962
17,2,50962
18,2,50962
19,2,50963
20,2,50962
21,2,50962
22,2,50962
23,2,50963
24,2,50962
25,2,50962
26,2,50962
27,2,50963
28,2,50963
29,2,50962
30,2,50962
31,2,50962
32,2,50963
33,2,50962
34,2,50962
35,2,50962
36,2,50962
37,2,50963
38,2,50962
39,2,50962
40,2,50962
41,2,50963
42,2,50962
43,2,50962
44,2,50962
45,2,50962
46,2,50963
47,2,50962
48,2,50962
49,2,50962
50,2,50963
51,2,50962
52,2,50962
53,2,50962
54,2,50962
55,2,50963
56,2,50962
57,2,50962
58,2,50962
59,2,50963
60,2,50962
61,2,50962
62,2,50962
63,2,50962
64,2,50963
65,2,50962
66,2,50962
67,2,50962
68,2,50963
69,2,50962
70,2,50962
71,2,50962
72,2,50962
73,2,50963
74,2,50962
75,2,50962
76,2,50962
77,2,50962
78,2,50963
79,2,50962
80,2,50962
81,2,50962
82,2,50963
83,2,50962
84,2,50962
85,2,50962
86,2,50963
87,2,50962
88,2,50962
89,2,50962
90,2,50963
91,2,50963
92,2,50962
93,2,50962
94,2,50962
95,2,50963
96,2,50963
97,2,50962
98,2,50962
99,2,50962
100,2,50963
101,2,50962
102,2,50962
103,2,50962
104,2,50963
105,2,50963
106,2,50962
107,2,50962
108,2,50962
109,2,50963
110,2,50962
111,2,50962
112,2,50962
113,2,50963
114,2,50963
115,2,50962
116,2,50962
117,2,50962
118,2,50963
119,2,50962
120,2,50962
121,2,50962
122,2,50963
123,2,50962
124,2,50962
125,2,50962
126,2,50963
127,2,50962
128,2,50962
129,2,50962
130,2,50962
131,2,50963
132,2,50962
133,2,50962
134,2,50962
135,2,50963
136,2,50962
137,2,50962
138,2,50962
139,2,50962
140,2,50963
141,2,50962
142,2,50962
143,2,50962
144,2,50962
145,2,50962
146,2,50962
147,2,50962
148,2,50962
149,2,50962
150,2,50962
151,2,50962
152,2,50962
153,2,50963
154,2,50962
155,2,50962
156,2,50962
157,2,50963
158,2,50963
159,2,50962
160,2,50962
161,2,50962
162,2,50963
163,2,50962
164,2,50962
165,2,50962
166,2,50963
167,2,50962
168,2,50962
169,2,50962
170,2,50962
171,2,50963
172,2,50962
173,2,50962
174,2,50962
175,2,50963
176,2,50962
177,2,50962
178,2,50962
179,2,50962
180,2,50963
181,2,50962
182,2,50962
183,2,50962
184,2,50963
185,2,50962
